&#160;Ст.;Код;Наименование;Группа;Поставщик;Покупатель;Отсрочка;Торговый агент;ИНН;Ан. счет;Вид цены по умолчанию;Лимит кредита (руб);Лимит кредита изм-ся вручную;Стоп-лист изм-ся вручную;Номер маршрута;Телефон;Юридический адрес;Адрес доставки;Макс. отсрочка;Время дост. контр.;Полное наименование;Код ОКПО;Код ОКОНХ;Банковские реквизиты;Директор;Гл. бух.;№ договора;Дата договора;Вышестоящая орг.;Долги на вышестоящую орг.;Email-адрес;КПП;Макс. сумма операции;БИК;Время доставки;EDI;Серия_лицензии;Номер_лицензии;Дата_выдачи;Кем_выдана;Срок_действия_лиц_с;Срок_действия_лиц_по;Рег_номер_лицензии;Степень_сложности;Работает по ЭДО
0;1;945019;Агадес;Магнит•ПД МК;1;1;;;2310031475;201171981;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;143406, Московская обл, Красногорский р-н, Красногорск г, Комсомольская ул, дом № 31;;;"АО ""Тандер"" м-н Агадес";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;502445013;;40349602;;;;;;;;;;;Нет
0;0;772028;Агатаум;ПД Москва 6 (24);1;1;;;2310031475;201184480;;;0;0;;+7(965)358-43-86;350002, Краснодарский край, Краснодар г, Леваневского 185;127474, Москва г, Рогачёвский пер, дом № 7, корп. 1;;;"АО ""Тандер"" м-н Агатаум";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md772028@magnit.ru;771345030;;40349602;;;;77РПА0013917;14.06.2018;;19.03.2019;13.06.2023;;;Нет
0;0;690091;Агафис;ПД Тверь 18 направление 24•ПД Тверь Запад 24;1;1;;;2310031475;201186423;;;0;0;;+7(906)656-87-83;350002, Краснодарский край, Краснодар г, Леваневского 185;172332, Тверская обл, Зубцовский р-н, Зубцов г, Победы ул, дом № 16А, пом. 2;;;"АО ""Тандер"" м-н Агафис";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md690091@magnit.ru;692345001;;40349602;;;;69РПА0002154;23.05.2016;Министерством Тверской области по обеспечению контрольных функций;16.03.2017;30.06.2026;69РПА0001868;;Нет
0;0;945082;Агератум;Магнит•ПД МК;1;1;;;2310031475;201174558;;;0;0;;+7(967)145-09-71;350002, Краснодарский край, Краснодар г, Леваневского 185;143900, Московская обл, Балашиха г, 1 Мая мкр, дом № 27,пом. 56-59;;;"АО ""Тандер"" м-н Агератум";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk945082@magnit.ru;500145020;;40349602;;;;;;;;;;;Нет
0;1;773592;Агул;ПД Москва 3 (24);1;1;;;2310031475;201182335;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;107241, Москва г, Байкальская ул, дом № 13, Помещение №I: комнаты 1-9;;;"АО ""Тандер"" м-н Агул";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;771845039;;40349602;;;;;;;;;;;Нет
0;0;502859;Ададжо;ПД Москва 1 (6);1;1;;;2310031475;201176630;;;0;0;;+7(906)700-65-18;350002, Краснодарский край, Краснодар г, Леваневского 185;141900, Московская обл, Талдомский р-н, Талдом г, Собцова ул, дом № 22-а, поз. 4;;;"АО ""Тандер"" м-н Ададжо";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md502859@magnit.ru;507845009;;40349602;;;;50РПА0011939;;;26.05.2021;10.06.2026;;;Нет
0;0;504046;Адана;ТД РЦ Ногинск (Алкоголь);1;1;;;2310031475;201166428;;;0;0;;+7(903)590-29-06;350002, Краснодарский край, Краснодар г, Леваневского 185;141151, Московская обл, Лосино-Петровский г, Гоголя ул, дом № 14, пом. 67;;;"АО ""Тандер"" м-н Адана";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md504046@magnit.ru;505045002;;40349602;;;;50РПА0009068;19.11.2018;Министерство потребительского рынка и услуг МО;19.11.2018;10.12.2023;50РПА0009068;;Нет
0;0;692807;Аддендум;ПД Тверь 18 направление 24•ПД Тверь Запад 24;1;1;;;2310031475;201188618;;;0;0;;+7(960)700-97-52;350002, Краснодарский край, Краснодар г, Леваневского 185;172730, Тверская обл, Осташков г, Ленинский пр-кт, дом № 160;;;"АО ""Тандер"" м-н Аддендум";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md692807@magnit.ru;691345005;;40349602;;;;69РПА0002154;08.07.2019;;16.03.2017;30.06.2026;69РПА0002154;;Нет
0;0;504426;Аджарский;ТД РЦ Ногинск (Алкоголь);1;1;;;2310031475;201168720;;;0;0;;+7(906)032-69-29;350002, Краснодарский край, Краснодар г, Леваневского 185;142432, Московская обл, Ногинский р-н, Черноголовка г, Школьный б-р, дом № 10, помещения №60,61,63,66;;;"АО ""Тандер"" м-н Аджарский";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md504426@magnit.ru;503145020;;40349602;;;;50РПА0011939;26.05.2017;;11.06.2015;10.06.2026;50РПА0011939;;Нет
0;0;774988;Адзути;ПД Москва 6 (24);1;1;;;2310031475;201176812;;;0;0;;+7(909)936-82-24;350002, Краснодарский край, Краснодар г, Леваневского 185;127486, Москва г, Коровинское ш, дом № 13, корп. 1, пом. I;;;"АО ""Тандер"" м-н Адзути";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md774988@magnit.ru;774345032;;40349602;;;;77РПА0015375;17.04.2018;;25.06.2021;24.06.2026;77РПА0011252;;Нет
0;0;945030;Адиваси;Магнит•ПД МК;1;1;;;2310031475;201174150;;;0;0;;"+7(905)728-80-26; 79057288026";350002, Краснодарский край, Краснодар г, Леваневского 185;143500, Московская обл, Истринский р-н, Северный п;;;"АО ""Тандер"" м-н Адиваси";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk945030@magnit.ru;501745006;;40349602;;;;;;;;;;;Нет
0;0;503431;Адсорбция;ПД Москва 1 (6);1;1;;;2310031475;201178392;;;0;0;;+7(966)314-27-66;350002, Краснодарский край, Краснодар г, Леваневского 185;141850, Московская обл, Дмитровский р-н, Деденево рп, Заречная ул, дом № 9;;;"АО ""Тандер"" м-н Адсорбция";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503431@magnit.ru;500745038;;40349602;;;;50РПА0019080;;;19.07.2021;29.07.2026;50РПА0012272;;Нет
0;1;777066;Азербайджан;ПД Москва 6 (24);1;1;;;2310031475;201177901;;;0;0;;+7(909)936-79-31;350002, Краснодарский край, Краснодар г, Леваневского 185;125438, Москва г, Онежская ул, дом № 9/4, корп. А, пом. V, Va,VI;;;"АО ""Тандер"" м-н Азербайджан";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;774345035;;40349602;;;;77РПА0010943;27.10.2017;Министерством потребительского рынка и услуг МО;27.10.2017;28.04.2021;77РПА0010943;;Нет
0;0;771787;Айран;ПД Москва 6 (24);1;1;;;2310031475;201187190;;;0;0;;+7(966)187-06-52;350002, Краснодарский край, Краснодар г, Леваневского 185;127422, Москва г, Тимирязевская ул, дом № 38/25;;;"АО ""Тандер"" м-н Айран";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md771787@magnit.ru;771345031;;40349602;;;;77РПА0005660;06.06.2019;;21.03.2013;20.03.2023;77РПА0005660;;Нет
0;0;694883;Айриш;Магнит•ПД Тверь Запад 6;1;1;;;2310031475;201175557;;;0;0;;"+7(960)709-63-89; +79607096256";350002, Краснодарский край, Краснодар г, Леваневского 185;171080, Тверская обл, Бологовский р-н, Бологое г, Горская ул, дом № 49;;;"АО ""Тандер"" м-н Айриш";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md694883@magnit.ru;690745007;;40349602;;;;69РПА0002154;23.05.2016;Министерством Тверской области по обеспечению контрольных функций;16.03.2017;30.06.2026;69РПА0001868;;Нет
0;0;508822;Аканфа;ПД Москва 6 (6);1;1;;;2310031475;201177896;;;0;0;;+7(968)677-71-76;350002, Краснодарский край, Краснодар г, Леваневского 185;141732, Московская обл, Лобня г, Катюшки ул, дом № 65, 1 этаж;;;"АО ""Тандер"" м-н Аканфа";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md508822@magnit.ru;504745048;;40349602;;;;50РПА0019300;;;13.10.2021;13.10.2026;;;Нет
0;1;509257;Аккумуляция;ПД Москва 1 (6);1;1;;;2310031475;201177604;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;141078, Московская обл, Королев г, Циолковского ул, дом № 29г;;;"АО ""Тандер"" м-н Аккумуляция";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;501845019;;40349602;;;;;;;;;;;Нет
0;0;509039;Аксамс;ПД Москва 5 (24);1;1;;;2310031475;201172311;;;0;0;;+7(967)110-33-93;350002, Краснодарский край, Краснодар г, Леваневского 185;143032, Московская обл, Одинцовский р-н, Горки-10 п, дом № 27,пом. III-I;;;"АО ""Тандер"" м-н Аксамс";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md509039@magnit.ru;503245011;;40349602;;;;50РПА0018925;03.11.2016;Министерство потребительского рынка и услуг МО;25.05.2021;18.06.2026;50РПА0012000;;Нет
0;0;945088;Аксирис;Магнит•ПД МК;1;1;;;2310031475;201173818;;;0;0;;+7(909)937-03-56;350002, Краснодарский край, Краснодар г, Леваневского 185;141407, Московская обл, Химки г, Юбилейный пр-кт, дом № 36, этаж 1;;;"АО ""Тандер"" м-н Аксирис";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk945088@magnit.ru;504745026;;40349602;;;;;;;;;;;Нет
0;0;502910;Акэти;ПД Москва 6 (24);1;1;;;2310031475;201176952;;;0;0;;+7(967)110-36-58;350002, Краснодарский край, Краснодар г, Леваневского 185;141661, Московская обл, Клинский р-н, Покровка д, Замятинская ул, дом № 1;;;"АО ""Тандер"" м-н Акэти";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md502910@magnit.ru;502045006;;40349602;;;;50РПА0019198;17.01.2018;Министерство потребительского рынка и услуг МО;31.08.2021;23.09.2026;50РПА0010193;;Нет
0;0;503077;Алабай;ПД Москва 6 (6);1;1;;;2310031475;201182525;;;0;0;;+7(968)857-03-80;350002, Краснодарский край, Краснодар г, Леваневского 185;141055, Московская обл, Лобня г, Лейтенанта Бойко ул, дом № 47, пом. №1;;;"АО ""Тандер"" м-н Алабай";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503077@magnit.ru;504745061;;40349602;;;;50РПА0010951;;;30.12.2020;20.01.2025;50РПА0010951;;Нет
0;0;965037;Алапаевск;Магнит•ПД МК;1;1;;;2310031475;201188328;;;0;0;;+7(966)187-06-42;350002, Краснодарский край, Краснодар г, Леваневского 185;141221, Московская обл, Пушкинский р-н, Черкизово дп, Станционная ул, дом № владение 4;;;"АО ""Тандер"" м-н Алапаевск";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk965037@magnit.ru;503845041;;40349602;;;;;;;;;;;Нет
0;0;692788;Аларте;Магнит•ПД Тверь Восток 24;1;1;;;2310031475;201180126;;;0;0;;+7(903)802-94-31;350002, Краснодарский край, Краснодар г, Леваневского 185;170042, Тверская обл, Тверь г, Благоева ул, дом № 5, корп. 4, пом. 3;;;"АО ""Тандер"" м-н Аларте";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md692788@magnit.ru;695245023;;40349602;;;;69РПА0002154;;;16.03.2017;30.06.2026;;;Нет
0;0;778109;Албани;ПД Москва 6 (24);1;1;;;2310031475;201178822;;;0;0;;+7(968)861-25-90;350002, Краснодарский край, Краснодар г, Леваневского 185;125459, Москва г, Туристская ул, дом № 17;;;"АО ""Тандер"" м-н Албани";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md778109@magnit.ru;773345025;;40349602;;;;77РПА0011579;;;22.02.2019;15.10.2023;77РПА0011579;;Нет
0;0;945024;Александров;ТД РЦ Ногинск (Алкоголь);1;1;;;2310031475;201177614;;;0;0;;+7(968)677-53-69;350002, Краснодарский край, Краснодар г, Леваневского 185;141191, Московская обл, Фрязино г, Горького ул, дом № 10, стр. 4;;;"АО ""Тандер"" м-н Александров";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;mk945024@magnit.ru;505045022;;40349602;;;;;;;;;;;Нет
0;0;509314;Алеста;ПД Москва 1 (24);1;1;;;2310031475;201178266;;;0;0;;+7(966)314-08-20;350002, Краснодарский край, Краснодар г, Леваневского 185;141304, Московская обл, Сергиево-Посадский р-н, Сергиев Посад г, Семхоз мкр, Хотьковская ул, дом № 97, этаж 1;;;"АО ""Тандер"" м-н Алеста";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md509314@magnit.ru;504245019;;40349602;;;;50РПА0012147;;;16.07.2021;13.07.2026;50РПА0012147;;Нет
0;1;774970;Алеть;ПД Москва 1 (24);1;1;;;2310031475;201176894;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;127247, Москва г, Софьи Ковалевской ул, дом № 4;;;"АО ""Тандер"" м-н Алеть";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;771345020;;40349602;;;;77РПА0013916;;;28.09.2018;13.06.2023;;;Нет
0;0;508832;Алкимеда;ПД Москва 6 (24);1;1;;;2310031475;201166418;;;0;0;;+7(905)728-98-60;350002, Краснодарский край, Краснодар г, Леваневского 185;143406, Московская обл, Красногорский р-н, Красногорск г, Комсомольская ул, дом № 31;;;"АО ""Тандер"" м-н Алкимеда";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md508832@magnit.ru;502445013;;40349602;;;;50РПА0019326;28.03.2016;Министерство потребительского рынка и услуг МО;15.10.2021;17.11.2026;50РПА0013053;;Нет
0;0;777047;Альбукерке;ПД Москва 6 (24);1;1;;;2310031475;201177910;;;0;0;;+7(967)110-20-79;350002, Краснодарский край, Краснодар г, Леваневского 185;123308, Москва г, Маршала Жукова пр-кт, дом № 10;;;"АО ""Тандер"" м-н Альбукерке";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md777047@magnit.ru;773445011;;40349602;;;;77РПА0011687;;;13.11.2015;12.11.2026;77РПА0011687;;Нет
0;0;777022;Альбурла;ПД Москва 5 (24);1;1;;;2310031475;201178237;;;0;0;;+7(966)026-54-89;350002, Краснодарский край, Краснодар г, Леваневского 185;108811, Москва г, Московский г, Радужная ул, дом № 19, корп. 3;;;"АО ""Тандер"" м-н Альбурла";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md777022@magnit.ru;775145024;;40349602;;;;77РПА0014111;;;18.09.2018;17.09.2023;;;Нет
0;0;503342;Альваид;ПД Москва 6 (24);1;1;;;2310031475;201178819;;;0;0;;+7(906)721-66-85;350002, Краснодарский край, Краснодар г, Леваневского 185;141623, Московская обл, Клинский р-н, Нудоль п, Футбольная ул, дом № 20, пом.1;;;"АО ""Тандер"" м-н Альваид";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503342@magnit.ru;502045008;;40349602;;;;50РПА0012376;21.12.2017;;21.12.2017;11.08.2026;50РПА0012376;;Нет
0;0;503329;Алькура;ПД Москва 6 (24);1;1;;;2310031475;201183804;;;0;0;;+7(963)990-05-70;350002, Краснодарский край, Краснодар г, Леваневского 185;143433, Московская обл, Красногорск г, Нахабино рп, Братьев Волковых ул, дом № 5;;;"АО ""Тандер"" м-н Алькура";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503329@magnit.ru;502445026;;40349602;;;;50РПА0017233;31.01.2019;;31.01.2019;18.11.2023;;;Нет
0;0;503646;Альменда;ПД Москва 1 (6);1;1;;;2310031475;201184538;;;0;0;;+7(965)358-43-64;350002, Краснодарский край, Краснодар г, Леваневского 185;141832, Московская обл, Дмитровский р-н, Горшково п, дом № 62;;;"АО ""Тандер"" м-н Альменда";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md503646@magnit.ru;500745053;;40349602;;;;50РПА0009216;28.03.2019;;28.03.2019;24.12.2023;50РПА0009216;;Нет
0;0;773504;Альмутен;ПД Москва 7 (24);1;1;;;2310031475;201179187;;;0;0;;+7(968)861-25-94;350002, Краснодарский край, Краснодар г, Леваневского 185;121471, Москва г, Багрицкого ул, дом № 61;;;"АО ""Тандер"" м-н Альмутен";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;md773504@magnit.ru;773145027;;40349602;;;;77РПА0010439;;;14.11.2014;13.11.2024;;;Нет
0;1;503332;Альният;ПД Москва 1 (6);1;1;;;2310031475;;;;0;0;;;350002, Краснодарский край, Краснодар г, Леваневского 185;Московская обл, Фрязино г, Ленина ул, дом № 37, пом. 1001;;;"АО ""Тандер"" м-н Альният";41351125;71200;р/с 40702810930010120150, КРАСНОДАРСКОЕ ОТДЕЛЕНИЕ N8619 ПАО СБЕРБАНК, к/с 30101810100000000602, БИК 040349602;;;;;;0;;;;40349602;;;;;;;;;;;Нет
